                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7523,                 2.3873,                 1.8274,                0.59285,                0.56347,                0.58358,                0.27721,                 1.7766,                 1.4635,                 1.9207,              0.0033281,              0.0033281,              0.0033281
                      2,                 1.6065,                 1.6797,                 1.7153,                0.61698,                0.53212,                0.58944,                0.26359,                 1.7658,                 1.3912,                 1.8693,              0.0065955,              0.0065955,              0.0065955
                      3,                 1.6697,                  1.743,                 1.7608,                0.56295,                0.47112,                0.50222,                0.22571,                 1.8347,                 1.5784,                 1.9622,              0.0097968,              0.0097968,              0.0097968
                      4,                 1.7163,                 1.8549,                 1.8237,                0.61654,                 0.5137,                0.54115,                0.24074,                 1.7934,                 1.4799,                 1.9716,               0.009703,               0.009703,               0.009703
                      5,                 1.6712,                 1.7502,                 1.8095,                 0.6182,                0.54853,                0.58378,                0.27389,                 1.6897,                 1.4049,                 1.8842,               0.009703,               0.009703,               0.009703
                      6,                 1.6238,                 1.6339,                 1.7769,                0.68581,                0.60218,                0.65277,                0.32755,                 1.6456,                 1.2711,                  1.818,               0.009604,               0.009604,               0.009604
                      7,                 1.5915,                 1.5547,                 1.7552,                0.67393,                0.63384,                0.67389,                0.34696,                 1.6374,                 1.2462,                 1.8255,               0.009505,               0.009505,               0.009505
                      8,                 1.5543,                  1.466,                 1.7241,                0.75211,                0.65761,                0.72795,                0.37757,                 1.6585,                 1.1604,                  1.841,               0.009406,               0.009406,               0.009406
                      9,                 1.5334,                 1.4363,                 1.7154,                0.73985,                 0.6979,                0.74119,                0.40421,                  1.562,                 1.1028,                 1.7548,               0.009307,               0.009307,               0.009307
                     10,                 1.5116,                 1.3781,                 1.6812,                0.76848,                0.66353,                0.74981,                0.40046,                 1.5673,                 1.0396,                 1.7375,               0.009208,               0.009208,               0.009208
                     11,                 1.5022,                 1.3278,                 1.6691,                0.74082,                0.70342,                0.75579,                0.41284,                 1.5749,                 1.0448,                 1.7622,               0.009109,               0.009109,               0.009109
                     12,                   1.47,                 1.2909,                 1.6417,                0.80364,                0.73096,                0.78344,                 0.4191,                 1.5191,                0.96573,                 1.6732,                0.00901,                0.00901,                0.00901
                     13,                 1.4559,                 1.2627,                 1.6434,                0.74865,                 0.7311,                0.77894,                0.44812,                 1.5042,                0.97271,                 1.6993,               0.008911,               0.008911,               0.008911
                     14,                 1.4452,                 1.2173,                   1.62,                0.80167,                0.74969,                0.79917,                0.44992,                 1.4899,                 0.9401,                 1.6716,               0.008812,               0.008812,               0.008812
                     15,                 1.4137,                 1.1838,                 1.6005,                0.81687,                0.74908,                0.80693,                0.45505,                 1.4708,                0.90652,                 1.6596,               0.008713,               0.008713,               0.008713
                     16,                 1.4002,                 1.1421,                 1.5877,                0.82666,                0.77248,                0.83223,                 0.4793,                 1.4612,                  0.879,                 1.6406,               0.008614,               0.008614,               0.008614
                     17,                 1.3876,                 1.1207,                 1.5781,                0.83386,                0.76035,                0.83038,                0.47074,                 1.4337,                0.84563,                 1.6318,               0.008515,               0.008515,               0.008515
                     18,                  1.378,                 1.1065,                 1.5737,                0.81925,                0.76971,                0.82862,                0.47068,                 1.4297,                0.86092,                 1.6267,               0.008416,               0.008416,               0.008416
                     19,                 1.3625,                 1.0758,                 1.5564,                0.83739,                0.76347,                 0.8352,                0.48477,                 1.4376,                0.82639,                 1.6136,               0.008317,               0.008317,               0.008317
                     20,                 1.3456,                 1.0459,                 1.5409,                0.83971,                0.80801,                0.84009,                0.49127,                 1.4271,                0.80822,                 1.6191,               0.008218,               0.008218,               0.008218
                     21,                 1.3391,                 1.0299,                  1.533,                 0.8213,                0.79284,                0.84544,                0.48659,                 1.4095,                0.79068,                 1.5959,               0.008119,               0.008119,               0.008119
                     22,                 1.3291,                 1.0155,                 1.5264,                0.86261,                0.78693,                0.84847,                0.49469,                 1.4189,                0.76456,                 1.5912,                0.00802,                0.00802,                0.00802
                     23,                 1.3136,                0.99646,                 1.5154,                0.84637,                0.81479,                0.85907,                0.50271,                 1.4024,                0.74989,                 1.5894,               0.007921,               0.007921,               0.007921
                     24,                 1.3003,                0.97728,                 1.5006,                0.84881,                0.80078,                0.85681,                0.51468,                  1.399,                0.74942,                 1.5822,               0.007822,               0.007822,               0.007822
                     25,                  1.287,                 0.9493,                  1.496,                0.85909,                0.79924,                0.86609,                0.50911,                 1.3988,                0.73384,                  1.587,               0.007723,               0.007723,               0.007723
                     26,                 1.2743,                0.94039,                 1.4895,                0.85382,                0.79426,                0.86385,                0.52148,                 1.3624,                 0.7221,                 1.5552,               0.007624,               0.007624,               0.007624
                     27,                 1.2705,                0.92197,                  1.481,                0.87187,                0.80702,                0.85599,                0.52553,                 1.3667,                0.70415,                 1.5554,               0.007525,               0.007525,               0.007525
                     28,                 1.2684,                0.91254,                 1.4709,                0.87215,                0.78957,                0.87149,                0.53266,                 1.3486,                0.69566,                 1.5459,               0.007426,               0.007426,               0.007426
                     29,                 1.2522,                0.90809,                 1.4581,                0.84575,                0.83369,                 0.8796,                0.52128,                  1.351,                0.68801,                 1.5358,               0.007327,               0.007327,               0.007327
                     30,                 1.2396,                0.88479,                  1.456,                0.87927,                 0.8046,                0.88268,                0.52806,                 1.3485,                0.68524,                 1.5475,               0.007228,               0.007228,               0.007228
